lat_long,casualties_id,Casualties.casualties_id,Casualties.casualties,Casualties.fatalities,Casualties.serious_injuries,Casualties.minor_injuries,Location2.lat_long,Location2.latitude,Location2.longitude
"(-36.82728928683202, 145.21470705764628)",1c1s,1c1s,1,0,1,0,"(-36.82728928683202, 145.21470705764628)",-36.82728929,145.2147071
"(-36.827559031188656, 145.2143730162577)",1c1s,1c1s,1,0,1,0,"(-36.827559031188656, 145.2143730162577)",-36.82755903,145.2143730
"(-36.813006499714014, 145.23238931539456)",1c1m,1c1m,1,0,0,1,"(-36.813006499714014, 145.23238931539456)",-36.81300650,145.2323893
"(-36.813006499714014, 145.23238931539456)",2c2m,2c2m,2,0,0,2,"(-36.813006499714014, 145.23238931539456)",-36.81300650,145.2323893
"(-36.813006499714014, 145.23238931539456)",1c1s,1c1s,1,0,1,0,"(-36.813006499714014, 145.23238931539456)",-36.81300650,145.2323893
"(-36.813006499714014, 145.23238931539456)",2c1s1m,2c1s1m,2,0,1,1,"(-36.813006499714014, 145.23238931539456)",-36.81300650,145.2323893
"(-36.813006499714014, 145.23238931539456)",1c1m,1c1m,1,0,0,1,"(-36.813006499714014, 145.23238931539456)",-36.81300650,145.2323893
"(-36.813006499714014, 145.23238931539456)",1c1m,1c1m,1,0,0,1,"(-36.813006499714014, 145.23238931539456)",-36.81300650,145.2323893
"(-36.86272385198658, 145.17079608959017)",1c1m,1c1m,1,0,0,1,"(-36.86272385198658, 145.17079608959017)",-36.86272385,145.1707961
"(-36.871788323383626, 145.15955351480412)",1c1m,1c1m,1,0,0,1,"(-36.871788323383626, 145.15955351480412)",-36.87178832,145.1595535
"(-36.871788323383626, 145.15955351480412)",1c1m,1c1m,1,0,0,1,"(-36.871788323383626, 145.15955351480412)",-36.87178832,145.1595535
"(-36.871788323383626, 145.15955351480412)",1c1m,1c1m,1,0,0,1,"(-36.871788323383626, 145.15955351480412)",-36.87178832,145.1595535
"(-36.75864242314957, 145.29960285614146)",1c1m,1c1m,1,0,0,1,"(-36.75864242314957, 145.29960285614146)",-36.75864242,145.2996029
